country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
"Brazil, USA, Argentina",4,4,14,14,10,10,2.52,1
"UK, Netherlands, Luxembourg, USA, France, Germany",25,25,27,27,2,2,0.06,1
"USA, Germany, Poland",7,7,10,10,3,3,0.39,1
"USA, Germany, Romania",30,30,33,33,3,3,0.11,1
"USA, Germany, Saudi Arabia",10,10,1,1,-9,-9,-0.94,1
"USA, Germany, South Korea, India, Canada",76,76,35,35,-41,-41,-0.54,1
"USA, Germany, Taiwan, France, UK, Canada, Philippines, South Korea",50,50,70,70,20,20,0.4,1
"Brazil, Germany",4,4,1,1,-3,-3,-0.81,1
"USA, Germany, UK, France",50,50,60,60,10,10,0.2,1
"USA, Germany, UK, Italy",200,200,371,371,171,171,0.86,1
"USA, Germany, UK, Japan",55,55,33,33,-22,-22,-0.39,1
"USA, Germany, UK, Netherlands",9,9,47,47,38,38,4.2,1
"USA, Germany, UK, Spain",38,38,39,39,1,1,0.03,1
"USA, Germany, United Arab Emirates",70,70,87,87,17,17,0.24,1
"Brazil, France, Germany",3,3,31,31,27,27,8.3,1
"USA, India, United Arab Emirates",22,22,89,89,67,67,3.04,1
"USA, India, United Arab Emirates, UK, France, Canada, Germany",25,25,217,217,192,192,7.67,1
"USA, Indonesia",16,16,2,2,-14,-14,-0.87,1
"USA, Malta, UK",175,175,497,497,322,322,1.84,1
"USA, Mexico, Australia",49,49,117,117,68,68,1.38,1
"USA, Mexico, Canada, Germany",40,40,39,39,-1,-1,-0.03,1
"USA, Mexico, Germany",48,48,208,208,160,160,3.32,1
"USA, Mexico, Spain",2,2,10,10,9,9,5.7,1
"USA, Mexico, UK",45,45,31,31,-14,-14,-0.3,1
"USA, Monaco",10,10,0,0,-10,-10,-1.0,1
"USA, Monaco, Morocco",28,28,6,6,-22,-22,-0.8,1
"Belgium, Germany, Luxembourg, UK, France",4,4,11,11,6,6,1.36,1
"Belgium, Germany, Canada, France, USA, UK",47,47,4,4,-43,-43,-0.92,1
"Belgium, France",13,13,40,40,27,27,2.04,1
"USA, New Zealand, Germany",20,20,67,67,47,47,2.36,1
"USA, New Zealand, Japan",140,140,455,455,315,315,2.25,1
"USA, New Zealand, UK",135,135,374,374,239,239,1.77,1
"USA, Norway",68,68,55,55,-13,-13,-0.19,1
"USA, Philippines",1,1,10,10,9,9,9.5,1
"Belgium, India, Australia",50,50,0,0,-50,-50,-1.0,1
"USA, Malta, France, UK",125,125,758,758,633,633,5.07,1
"USA, Iran",0,0,0,0,0,0,-0.94,1
"Belgium, Luxembourg, France",20,20,7,7,-13,-13,-0.65,1
"Belgium, UK, USA, China",15,15,0,0,-15,-15,-0.98,1
"USA, Ireland, UK",31,31,27,27,-4,-4,-0.12,1
"Belgium, UK, France",34,34,64,64,30,30,0.89,1
"USA, Israel, Germany",30,30,0,0,-30,-30,-0.99,1
"Belgium, Spain, France",7,7,0,0,-7,-7,-0.98,1
"USA, Italy, France",70,70,255,255,185,185,2.64,1
"USA, Italy, Luxembourg, UK",30,30,22,22,-8,-8,-0.28,1
"USA, Italy, UK",50,50,57,57,7,7,0.14,1
"USA, Italy, UK, Liechtenstein",11,11,112,112,101,101,9.17,1
"Belgium, Netherlands",19,19,6,6,-13,-13,-0.7,1
"USA, Japan, Australia, New Zealand",15,15,66,66,51,51,3.43,1
"USA, Japan, Colombia",50,50,135,135,85,85,1.7,1
"USA, Japan, Germany, UK",20,20,46,46,26,26,1.29,1
"USA, Japan, Spain, UK",160,160,789,789,629,629,3.93,1
"USA, Japan, UK, Canada",150,150,432,432,282,282,1.88,1
"UK, New Zealand",2,2,1,1,-1,-1,-0.35,1
"UK, Mexico, Guatemala",0,0,4,4,4,4,7.49,1
"UK, Netherlands, France, USA",100,100,527,527,427,427,4.27,1
"Italy, Canada",30,30,8,8,-22,-22,-0.72,1
"France, Germany, UK, Belgium, Romania, Norway, Japan, USA",22,22,18,18,-4,-4,-0.2,1
"France, Germany, UK",45,45,60,60,15,15,0.34,1
"Israel, Belgium, France, Spain",1,1,0,0,-1,-1,-0.65,1
"Israel, France",2,2,1,1,-1,-1,-0.48,1
"France, Germany, Spain, Belgium, USA",18,18,2,2,-16,-16,-0.9,1
"France, Germany, Poland, Spain, USA",25,25,28,28,3,3,0.1,1
"Italy, Algeria",1,1,1,1,0,0,0.21,1
"France, Germany, Italy, Canada, Japan",16,16,1,1,-15,-15,-0.95,1
"Japan, Canada, USA",170,170,386,386,216,216,1.27,1
"Italy, France, Belgium",3,3,22,22,19,19,6.3,1
"Italy, France, UK",10,10,5,5,-5,-5,-0.52,1
"Italy, France, West Germany",1,1,0,0,0,0,-0.47,1
"France, Germany, Czech Republic, Belgium",6,6,3,3,-3,-3,-0.53,1
"Italy, UK",12,12,14,14,2,2,0.2,1
"Italy, UK, Germany",5,5,1,1,-4,-4,-0.9,1
"France, Germany, Belgium",8,8,2,2,-6,-6,-0.79,1
"France, Germany, USA, Taiwan",40,40,459,459,419,419,10.47,1
"France, Germany, USA, UK",40,40,37,37,-3,-3,-0.07,1
"Ireland, UK, France, Germany, USA",68,68,97,97,29,29,0.43,1
"France, Hungary, USA",45,45,5,5,-40,-40,-0.89,1
"Indonesia, France, USA",1,1,9,9,8,8,7.32,1
"France, Italy, Luxembourg, USA",7,7,0,0,-7,-7,-0.93,1
"France, Italy, Germany, USA",98,98,10,10,-88,-88,-0.9,1
"Iran, France",0,0,20,20,19,19,38.8,1
"Iran, Germany",2,2,0,0,-1,-1,-1.0,1
"Iran, Italy, Switzerland",0,0,1,1,1,1,79.0,1
"France, Italy, Belgium, Iran",11,11,11,11,0,0,-0.03,1
"Ireland, Australia",10,10,0,0,-10,-10,-0.99,1
"Ireland, Canada",11,11,8,8,-3,-3,-0.29,1
"Ireland, Canada, UK, USA",13,13,35,35,22,22,1.72,1
"Ireland, France",25,25,5,5,-20,-20,-0.8,1
"Ireland, France, Netherlands",3,3,21,21,18,18,6.13,1
"Ireland, Mexico, Germany, USA",12,12,17,17,5,5,0.39,1
"Ireland, Sweden",4,4,0,0,-4,-4,-0.97,1
"Ireland, Sweden, USA",8,8,0,0,-8,-8,-0.97,1
"France, Georgia",25,25,0,0,-25,-25,-0.98,1
"Japan, France",12,12,4,4,-7,-7,-0.64,1
Palestine,2,2,1,1,-1,-1,-0.71,1
"New Zealand, South Korea",42,42,11,11,-31,-31,-0.74,1
"Netherlands, Germany, UK, Belgium",21,21,27,27,6,6,0.27,1
"Netherlands, UK",3,3,2,2,-1,-1,-0.21,1
"Netherlands, UK, Finland, USA",27,27,21,21,-6,-6,-0.22,1
"France, China, Belgium, Germany, United Arab Emirates, USA",177,177,226,226,49,49,0.27,1
"New Zealand, Australia, France",7,7,40,40,33,33,4.74,1
"New Zealand, Germany",4,4,41,41,38,38,10.73,1
"New Zealand, Japan, USA",25,25,18,18,-7,-7,-0.27,1
"New Zealand, UK, Australia",40,40,103,103,63,63,1.58,1
"Japan, Hong Kong, USA",65,65,40,40,-25,-25,-0.39,1
"France, Canada, Czech Republic",21,21,11,11,-11,-11,-0.49,1
"New Zealand, USA, Germany",207,207,551,551,344,344,1.66,1
"France, Canada, Belgium",12,12,0,0,-12,-12,-0.96,1
"France, Belgium, USA",15,15,133,133,118,118,7.9,1
"Norway, France, Denmark, USA",11,11,1,1,-10,-10,-0.89,1
"France, Belgium, Tunisia, Morocco",3,3,0,0,-3,-3,-0.97,1
"Norway, USA, Germany, France, Italy",1,1,3,3,2,2,1.71,1
"Morocco, Sweden, Denmark, Germany, France",4,4,4,4,0,0,-0.06,1
"Mexico, USA, Spain",11,11,0,0,-11,-11,-0.98,1
"France, China, Belgium, Monaco",25,25,73,73,48,48,1.91,1
"Mexico, Spain, Guatemala",2,2,1,1,-1,-1,-0.59,1
"Japan, Netherlands, Hong Kong",2,2,1,1,-2,-2,-0.62,1
"Japan, UK",6,6,18,18,12,12,1.93,1
"France, Czech Republic",85,85,67,67,-18,-18,-0.21,1
"Kazakhstan, Russia, France, Germany",2,2,0,0,-1,-1,-0.96,1
"Kenya, India, USA, Canada, South Africa",20,20,3,3,-17,-17,-0.83,1
"Lebanon, France, USA, Cyprus, Qatar",4,4,64,64,60,60,15.1,1
"Lithuania, USA",5,5,2,2,-3,-3,-0.69,1
"Malaysia, USA",16,16,1,1,-15,-15,-0.95,1
"Malta, Morocco, USA",50,50,69,69,19,19,0.39,1
"Malta, USA",55,55,353,353,298,298,5.41,1
"France, Cyprus, Belgium, Lebanon, USA",3,3,4,4,1,1,0.2,1
"France, China, Germany",20,20,1,1,-19,-19,-0.93,1
"Mexico, Netherlands, Germany, France",1,1,0,0,-1,-1,-0.63,1
"France, China, Canada",30,30,58,58,28,28,0.93,1
"Mexico, Spain, Argentina, France",2,2,27,27,25,25,14.0,1
"India, USA, United Arab Emirates",12,12,42,42,30,30,2.53,1
"India, USA",24,24,36,36,12,12,0.5,1
"India, UK, USA",3,3,1,1,-1,-1,-0.49,1
"Germany, France, Australia",23,23,1,1,-22,-22,-0.96,1
"Germany, Belgium, USA",10,10,0,0,-10,-10,-0.97,1
"Germany, Belgium, USA, France",8,8,3,3,-5,-5,-0.64,1
"Germany, Canada, Australia, USA",49,49,71,71,22,22,0.45,1
"Germany, Canada, France, Sweden, Norway",12,12,1,1,-11,-11,-0.95,1
"Germany, Canada, New Zealand, USA",14,14,1,1,-13,-13,-0.96,1
"France, Mexico, USA",42,42,35,35,-7,-7,-0.16,1
"Germany, Canada, USA, France, UK",65,65,240,240,175,175,2.69,1
"Germany, France, Luxembourg, UK",14,14,4,4,-10,-10,-0.74,1
"India, Germany",17,17,7,7,-10,-10,-0.59,1
"Germany, France, Spain, USA",15,15,1,1,-14,-14,-0.94,1
"Germany, France, Spain, USA, Czech Republic, Belgium, Netherlands, Luxembourg, Latvia, UK",60,60,135,135,75,75,1.25,1
"Germany, France, UK, Canada, USA",45,45,129,129,84,84,1.87,1
"Germany, France, USA",30,30,23,23,-7,-7,-0.23,1
"Germany, France, USA, Canada, UK",60,60,300,300,240,240,4.0,1
"Germany, India, USA",40,40,165,165,125,125,3.14,1
"Germany, Israel, UK",1,1,1,1,0,0,0.29,1
"Germany, Austria, USA",15,15,0,0,-15,-15,-0.99,1
"Germany, Austria, France, Italy, Canada",18,18,19,19,1,1,0.07,1
"Germany, Australia, USA",100,100,100,100,0,0,0.0,1
"France, Spain",47,47,7,7,-40,-40,-0.85,1
"France, UK, Germany, Austria",20,20,0,0,-20,-20,-0.98,1
"France, UK, Germany, USA, Japan",4,4,2,2,-1,-1,-0.42,1
"France, UK, Ireland, Canada, USA",30,30,6,6,-24,-24,-0.81,1
"France, UK, Italy, Greece, Israel, USA",24,24,3,3,-21,-21,-0.89,1
"France, UK, South Africa, USA",14,14,6,6,-8,-8,-0.59,1
"France, USA, Germany",32,32,85,85,53,53,1.66,1
"France, USA, Iran",1,1,1,1,0,0,-0.44,1
"France, Spain, Romania, Belgium, USA",38,38,13,13,-25,-25,-0.65,1
"France, USA, Mexico, Belgium",6,6,1,1,-5,-5,-0.78,1
"France, USA, Spain",48,48,326,326,278,278,5.8,1
"France, Spain, Belgium, Panama",17,17,5,5,-12,-12,-0.71,1
"France, USA, UK, Mexico, Canada, Brazil, Germany, Netherlands, Argentina",25,25,9,9,-16,-16,-0.65,1
"France, USA, Ukraine",30,30,109,109,79,79,2.63,1
"France, Ukraine, Belgium",3,3,1,1,-2,-2,-0.63,1
"Georgia, USA",12,12,0,0,-12,-12,-0.97,1
"Germany, Japan, USA",7,7,8,8,1,1,0.2,1
"Germany, Luxembourg, UK, USA",40,40,32,32,-8,-8,-0.2,1
"Germany, Netherlands, USA",35,35,28,28,-7,-7,-0.2,1
"Hong Kong, China, France, Italy, Germany",12,12,19,19,7,7,0.62,1
"Hong Kong, China, Singapore",20,20,4,4,-16,-16,-0.81,1
"Hong Kong, France, China",30,30,6,6,-24,-24,-0.8,1
"Hong Kong, Iceland, USA",35,35,60,60,25,25,0.71,1
"Hong Kong, Japan, South Korea",4,4,0,0,-4,-4,-0.92,1
"France, Kazakhstan",25,25,3,3,-22,-22,-0.88,1
Hungary,0,0,0,0,0,0,0.33,1
"Hungary, Canada, UK",11,11,1,1,-10,-10,-0.94,1
"Hungary, UK",8,8,0,0,-8,-8,-1.0,1
"Hungary, USA",20,20,40,40,20,20,0.98,1
Iceland,2,2,4,4,2,2,1.07,1
"Iceland, Denmark, USA, France, Germany",4,4,0,0,-3,-3,-0.91,1
"Iceland, Germany, Norway",10,10,0,0,-10,-10,-0.98,1
"Iceland, Philippines, France, Thailand",0,0,0,0,0,0,-0.98,1
"Iceland, Switzerland, USA",8,8,0,0,-7,-7,-0.95,1
"India, France, Germany, USA, Canada",1,1,12,12,11,11,10.62,1
"Hong Kong, China, Japan",8,8,4,4,-4,-4,-0.5,1
"Hong Kong, China, British Virgin Islands",40,40,43,43,3,3,0.07,1
"Germany, Sweden, USA",43,43,35,35,-8,-8,-0.18,1
"France, Lebanon, Egypt, Italy",7,7,8,8,1,1,0.12,1
"Germany, Sweden, USA, Hungary",30,30,100,100,70,70,2.34,1
"Germany, UK",5,5,0,0,-5,-5,-1.0,1
"France, Malta, USA",10,10,3,3,-7,-7,-0.67,1
"Germany, UK, USA, Canada",27,27,56,56,29,29,1.09,1
"France, Luxembourg, UK",18,18,2,2,-16,-16,-0.9,1
"Germany, USA, Canada",20,20,1,1,-19,-19,-0.94,1
"Germany, USA, France",1,1,1,1,0,0,-0.11,1
"Germany, USA, Hong Kong, Singapore, China",102,102,130,130,28,28,0.28,1
"Germany, USA, Israel",10,10,0,0,-10,-10,-0.99,1
"Germany, USA, Japan, France",115,115,143,143,28,28,0.24,1
"Germany, USA, Mexico",12,12,1,1,-11,-11,-0.88,1
"Germany, USA, UK, Canada",28,28,7,7,-21,-21,-0.73,1
"Greece, France, Cyprus",5,5,0,0,-5,-5,-0.97,1
"France, Liechtenstein, Switzerland, Germany, USA",13,13,17,17,4,4,0.34,1
"Hong Kong, Canada, USA",20,20,13,13,-7,-7,-0.33,1
"Pakistan, USA",0,0,0,0,0,0,-0.96,1
"Palestine, France, Germany, Netherlands, Israel",2,2,4,4,2,2,0.79,1
"UK, Mexico, USA",32,32,156,156,124,124,3.88,1
"UK, France, Spain, USA",100,100,155,155,55,55,0.55,1
"UK, France, Ireland, USA",10,10,0,0,-9,-9,-0.96,1
"UK, France, Italy",15,15,15,15,0,0,0.01,1
"UK, France, Italy, Germany, USA",11,11,4,4,-7,-7,-0.61,1
"UK, France, Italy, Japan, USA",31,31,9,9,-22,-22,-0.69,1
"UK, France, Poland, Germany",35,35,120,120,85,85,2.43,1
"UK, France, Slovakia, Tunisia, Italy, Bulgaria",35,35,25,25,-10,-10,-0.28,1
"UK, France, South Africa",7,7,3,3,-4,-4,-0.59,1
"UK, France, Sweden, Belgium",15,15,22,22,7,7,0.45,1
"Czech Republic, UK, Germany, Denmark, Italy, France, USA",5,5,2,2,-3,-3,-0.52,1
"Czech Republic, UK, USA",20,20,26,26,6,6,0.31,1
"UK, France, USA, Canada",50,50,223,223,173,173,3.46,1
"UK, France, USA, China",25,25,159,159,134,134,5.36,1
"UK, France, USA, Luxembourg, Germany",20,20,15,15,-5,-5,-0.26,1
"Czech Republic, UK, Germany, USA",80,80,12,12,-68,-68,-0.85,1
"UK, Germany, Austria",12,12,0,0,-12,-12,-0.97,1
"UK, Germany, Canada, Australia, USA",12,12,1,1,-11,-11,-0.9,1
"Czech Republic, UK, USA, France, Botswana",14,14,14,14,0,0,-0.01,1
"UK, France, Germany, Mexico, USA",30,30,9,9,-21,-21,-0.69,1
"UK, France, Germany, Japan, USA",65,65,52,52,-13,-13,-0.2,1
"UK, France, Germany, Ireland, USA",40,40,262,262,222,222,5.54,1
"Denmark, France, USA, Sweden, Belgium",5,5,11,11,6,6,1.22,1
"UK, Cayman Islands",0,0,2,2,2,2,8.83,1
"UK, China, Canada, Indonesia, Singapore, USA",14,14,1,1,-13,-13,-0.93,1
"UK, China, Japan, USA",150,150,291,291,141,141,0.94,1
"UK, China, Puerto Rico, USA",30,30,9,9,-21,-21,-0.69,1
"Denmark, France, Italy, Belgium, Netherlands",8,8,0,0,-7,-7,-0.96,1
"UK, Czech Republic, France, Italy, USA",50,50,82,82,32,32,0.64,1
"UK, Czech Republic, Germany, USA",60,60,56,56,-4,-4,-0.07,1
"UK, Czech Republic, USA, Germany, Bahamas",150,150,609,609,459,459,3.06,1
"UK, Denmark",4,4,0,0,-4,-4,-1.0,1
"UK, France, Argentina",30,30,16,16,-14,-14,-0.48,1
"UK, France, Belgium",8,8,0,0,-8,-8,-0.96,1
"UK, France, Belgium, USA",10,10,0,0,-10,-10,-0.97,1
"Czech Republic, UK, USA, Russia",50,50,13,13,-37,-37,-0.74,1
"Czech Republic, UK, USA, Mexico",12,12,2,2,-10,-10,-0.83,1
"UK, Germany, Canada, Japan, USA",44,44,3,3,-41,-41,-0.93,1
"Czech Republic, UK, France",45,45,20,20,-25,-25,-0.56,1
"Palestine, Jordan, Greece, United Arab Emirates",1,1,0,0,-1,-1,-0.93,1
"UK, Italy",10,10,1,1,-9,-9,-0.9,1
"China, USA, Colombia",50,50,66,66,16,16,0.33,1
"China, USA, Canada",19,19,27,27,7,7,0.37,1
"UK, Ireland, Luxembourg",15,15,85,85,70,70,4.69,1
"UK, Ireland, South Africa",12,12,1,1,-11,-11,-0.88,1
"UK, Ireland, USA",25,25,11,11,-14,-14,-0.55,1
"UK, Isle Of Man, USA",25,25,2,2,-23,-23,-0.91,1
"UK, Israel, France",8,8,0,0,-8,-8,-0.98,1
"UK, Italy, Belgium, France, Palestine, Israel",6,6,1,1,-5,-5,-0.84,1
"Czech Republic, Germany",3,3,0,0,-3,-3,-0.84,1
"UK, Italy, Morocco",20,20,13,13,-7,-7,-0.33,1
"UK, Italy, Romania, USA",79,79,173,173,94,94,1.19,1
"UK, Italy, USA",11,11,16,16,5,5,0.46,1
"UK, Japan",40,40,2,2,-38,-38,-0.96,1
"China, South Korea, Singapore",31,31,2,2,-29,-29,-0.93,1
"China, Japan, France",15,15,1,1,-14,-14,-0.92,1
"France, UK, Australia, Germany, Belgium, USA, Japan, Netherlands",14,14,1,1,-13,-13,-0.9,1
"UK, India, Trinidad and Tobago, USA",2,2,0,0,-2,-2,-0.84,1
"China, USA, Japan",250,250,1236,1236,986,986,3.94,1
"Colombia, Ecuador, USA",3,3,13,13,10,10,3.2,1
"UK, Germany, USA, Vietnam, Australia, France, Canada",30,30,28,28,-2,-2,-0.08,1
"UK, Germany, France, USA, Japan",30,30,16,16,-14,-14,-0.46,1
"UK, Germany, Greece, France",7,7,8,8,1,1,0.09,1
"UK, Germany, Hungary, Cayman Islands",15,15,2,2,-13,-13,-0.9,1
"UK, Germany, Italy, Republic of Macedonia",11,11,0,0,-11,-11,-0.99,1
"Czech Republic, France, USA",30,30,5,5,-25,-25,-0.83,1
"UK, Germany, Luxembourg",40,40,11,11,-29,-29,-0.73,1
"UK, Germany, Luxembourg, USA, Canada",40,40,19,19,-21,-21,-0.53,1
"UK, Germany, Romania, France, Italy",12,12,2,2,-10,-10,-0.87,1
"UK, Germany, Russia",18,18,20,20,2,2,0.14,1
"UK, Germany, Spain, Lithuania",15,15,6,6,-9,-9,-0.6,1
"UK, Germany, Spain, Morocco, USA",130,130,212,212,82,82,0.63,1
"UK, Germany, Spain, USA",70,70,39,39,-31,-31,-0.45,1
"UK, Germany, Sweden, Belgium, USA",5,5,8,8,3,3,0.67,1
"Colombia, Venezuela, Argentina",1,1,3,3,2,2,1.3,1
"UK, Germany, USA, China, Kenya",25,25,82,82,57,57,2.3,1
"UK, Canada, Sweden",17,17,128,128,111,111,6.51,1
"UK, Canada, Romania, USA",14,14,30,30,16,16,1.12,1
"UK, Canada, Ireland",11,11,62,62,51,51,4.64,1
"France, Angola, USA",0,0,0,0,0,0,-0.8,1
"France, Australia, USA",12,12,30,30,17,17,1.39,1
"South Africa, Botswana",5,5,30,30,25,25,5.01,1
"South Africa, Canada",15,15,0,0,-15,-15,-0.99,1
"South Africa, Canada, USA",25,25,67,67,42,42,1.68,1
"South Africa, Japan, USA",85,85,208,208,123,123,1.45,1
"France, Australia, Germany, UK, USA, Mexico, Canada",45,45,148,148,103,103,2.28,1
"South Africa, USA, New Zealand, Canada",30,30,211,211,181,181,6.03,1
"South Korea, China, USA",2,2,0,0,-2,-2,-0.99,1
"Denmark, Germany, France, Sweden, Italy, Poland",11,11,7,7,-4,-4,-0.37,1
"South Korea, Czech Republic",39,39,87,87,48,48,1.21,1
"Denmark, UK, Sweden, France",4,4,2,2,-2,-2,-0.61,1
"South Korea, USA, Hong Kong",8,8,16,16,8,8,0.93,1
"Denmark, Sweden, Netherlands, France, Germany, UK, Italy, USA",14,14,1,1,-14,-14,-0.95,1
"Spain, Bulgaria",7,7,6,6,-1,-1,-0.11,1
"Spain, Canada",5,5,1,1,-4,-4,-0.88,1
"Spain, Canada, France",8,8,0,0,-8,-8,-0.97,1
"Serbia, USA, Germany",0,0,0,0,0,0,-0.83,1
"Russia, Ukraine, Bulgaria, France, Spain",12,12,6,6,-5,-5,-0.48,1
"Russia, USA, China",2,2,17,17,15,15,7.41,1
"France, Austria, Germany",14,14,3,3,-11,-11,-0.81,1
"Panama, USA",20,20,5,5,-15,-15,-0.75,1
"Peru, USA",1,1,0,0,-1,-1,-0.99,1
Philippines,0,0,1,1,1,1,2.14,1
"Philippines, USA",0,0,0,0,0,0,9.01,1
"Poland, USA, UK",2,2,1,1,-1,-1,-0.41,1
"France, Belgium, Ireland, Netherlands, USA, Denmark, Brazil, Germany, Austria, Hungary",8,8,1,1,-7,-7,-0.91,1
"Qatar, France, Lebanon, Canada, USA",12,12,1,1,-11,-11,-0.89,1
Romania,0,0,0,0,0,0,-0.57,1
"Romania, France, Belgium",2,2,2,2,0,0,0.01,1
"Romania, USA, UK",12,12,25,25,13,13,1.07,1
"France, Belgium, Canada, UK, Latvia, USA",10,10,15,15,5,5,0.56,1
"Russia, France",2,2,0,0,-2,-2,-0.94,1
"Russia, France, Germany",5,5,1,1,-4,-4,-0.78,1
"Russia, Germany, Kazakhstan, China",18,18,27,27,9,9,0.47,1
"Russia, Ireland",4,4,0,0,-4,-4,-0.99,1
"Spain, France, Italy",4,4,10,10,6,6,1.46,1
"Spain, France, UK, USA",5,5,8,8,3,3,0.64,1
"Spain, France, USA",40,40,9,9,-31,-31,-0.78,1
"Denmark, Norway, Australia, USA",99,99,191,191,92,92,0.93,1
"Taiwan, China, Hong Kong, France",15,15,12,12,-3,-3,-0.2,1
"Taiwan, Hong Kong, USA, China",17,17,214,214,197,197,11.56,1
"Thailand, Canada, USA",9,9,1,1,-8,-8,-0.93,1
"Thailand, China, USA",10,10,0,0,-10,-10,-0.97,1
"Thailand, USA",30,30,1,1,-29,-29,-0.98,1
"Denmark, Netherlands, Sweden, Germany, UK, France, Finland, Norway, Italy",10,10,17,17,7,7,0.67,1
"Denmark, Germany, Sweden",35,35,2,2,-33,-33,-0.93,1
Argentina,2,2,12,12,11,11,7.28,1
"UK, Australia, France",8,8,14,14,6,6,0.69,1
"UK, Australia, Germany",20,20,5,5,-15,-15,-0.73,1
"Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium",13,13,40,40,27,27,2.13,1
"UK, Australia, USA, New Zealand",100,100,122,122,22,22,0.22,1
"UK, Azerbaijan",20,20,0,0,-20,-20,-1.0,1
"UK, Belgium, USA",6,6,2,2,-4,-4,-0.75,1
"UK, Bulgaria, USA",60,60,206,206,146,146,2.43,1
Taiwan,23,23,5,5,-18,-18,-0.8,1
"Switzerland, UK, France, USA",5,5,5,5,0,0,-0.09,1
"Spain, Ireland",5,5,6,6,1,1,0.28,1
"Switzerland, UK, Australia",18,18,22,22,4,4,0.24,1
"Spain, Malta, Bulgaria",70,70,39,39,-31,-31,-0.44,1
"Spain, UK, USA",70,70,106,106,36,36,0.51,1
"Spain, UK, USA, France",3,3,19,19,16,16,5.38,1
"Denmark, Sweden, France, Germany",7,7,16,16,9,9,1.15,1
"Spain, USA, Argentina",36,36,4,4,-32,-32,-0.88,1
"Spain, USA, France",17,17,151,151,134,134,7.89,1
"Spain, USA, France, Italy",17,17,210,210,193,193,11.35,1
"Spain, USA, UK, France",7,7,1,1,-6,-6,-0.82,1
Sweden,4,4,11,11,7,7,1.81,1
"Sweden, Denmark, Germany",10,10,2,2,-8,-8,-0.82,1
"Sweden, Denmark, Germany, Norway",13,13,104,104,91,91,7.03,1
"Sweden, France, West Germany",6,6,7,7,1,1,0.13,1
Switzerland,2,2,6,6,4,4,1.43,1
"Switzerland, France, Italy, Belgium",30,30,27,27,-3,-3,-0.11,1
"Switzerland, France, USA",0,0,0,0,0,0,-0.82,1
"Afghanistan, Ireland, Japan, Iran, Netherlands",0,0,4,4,4,4,84.01,1
