country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
"UK, USA, Canada",40,26,195,130,158,103,2.43,3
"France, UK, Czech Republic",60,32,86,44,61,12,0.44,3
"USA, China, Canada",217,132,605,332,388,201,1.4,3
"USA, UK, Italy",87,59,352,166,265,107,2.1,3
"USA, Sweden",30,15,27,17,5,1,0.31,3
"USA, UK, Ireland",120,83,217,168,147,84,1.06,3
"USA, Hong Kong, UK",30,29,56,49,26,20,0.68,2
"Ireland, USA",23,18,33,18,10,0,-0.2,2
"USA, UK, Japan",76,43,70,43,5,0,0.22,2
"USA, China, Japan",125,90,409,395,327,305,4.11,2
"Italy, France",13,9,13,9,8,0,0.48,2
"USA, Denmark, Australia",70,65,468,296,408,231,3.78,2
"France, USA, Mexico",25,20,135,72,110,52,2.0,2
"Israel, USA",4,3,1,1,-1,-2,-0.77,2
"USA, UK, France, Germany, Japan",60,34,159,89,99,55,1.52,2
"USA, Germany, Belgium",60,32,167,84,107,52,0.43,2
"Indonesia, USA",15,10,7,3,2,-6,-0.26,2
"USA, Thailand",80,41,587,293,507,253,2.68,2
"Ireland, UK, Germany",32,20,30,15,-2,-5,-0.52,2
"USA, Poland",12,6,35,18,23,12,0.5,2
"USA, Germany, Hungary",85,48,160,83,75,35,0.22,2
"USA, Canada, India",47,44,203,167,156,123,2.73,2
"USA, Luxembourg",30,20,12,9,-3,-11,-0.44,2
"USA, India, Canada",26,23,51,51,31,28,1.25,2
Iran,0,0,1,0,1,0,109.65,2
"USA, Germany, Netherlands",51,30,116,67,65,37,1.2,2
"Mexico, France",3,2,3,2,0,0,-0.38,2
"USA, Canada, France",16,15,12,6,-2,-9,-0.57,2
"UK, Spain, USA",140,92,268,158,128,66,0.51,2
"UK, Germany, China, USA",22,19,5,4,-12,-14,-0.76,2
"UK, Germany, France, USA",33,32,131,117,101,85,2.74,2
"UK, Germany, Japan, USA",82,52,47,27,-13,-24,-0.53,2
"UK, Hungary",90,46,16,8,-1,-37,-0.82,2
"UK, Ireland",16,9,37,19,21,9,0.14,2
"UK, Ireland, France, USA",8,6,55,30,52,25,8.56,2
"UK, Japan, USA",22,18,124,94,109,75,4.57,2
"Turkey, USA",40,20,1,1,0,-20,-0.66,2
"Switzerland, UK, USA",44,29,58,32,14,3,-0.14,2
"UK, Luxembourg",20,16,30,18,18,2,0.42,2
"UK, South Africa",4,4,10,5,7,1,0.65,2
"UK, Spain",15,10,64,32,49,23,1.16,2
"South Korea, Japan",7,4,12,8,5,4,1.34,2
"USA, Canada, Australia",94,57,115,85,95,28,2.17,2
"South Africa, USA",49,26,102,51,53,25,0.05,2
"UK, USA, France, Germany",30,20,131,68,101,48,1.44,2
"UK, USA, India",14,10,25,13,18,2,0.78,2
"UK, USA, Isle Of Man",30,15,35,27,18,12,54.58,2
Puerto Rico,15,8,0,0,-1,-8,-1.0,2
"Norway, USA",6,4,1,0,-1,-3,-0.92,2
Norway,22,11,4,3,1,-8,0.44,2
"Nigeria, USA",8,4,0,0,-1,-4,-0.9,2
"UK, USA, Luxembourg",25,16,16,13,3,-3,0.01,2
"USA, Australia, China",140,72,151,105,54,32,5.44,2
"Mexico, Spain",19,12,83,45,64,33,1.92,2
"UK, France, Germany",50,36,36,23,-14,-14,-0.43,2
"UK, USA, Australia",20,18,414,240,399,222,14.43,2
"West Germany, USA",12,12,15,14,4,2,0.21,2
"Australia, Canada",20,11,10,5,8,-6,1.58,2
"France, Japan, USA",75,38,512,257,437,218,2.9,2
"China, France",38,20,126,63,88,43,0.68,2
"Canada, Germany, USA",100,60,118,65,18,5,-0.1,2
"Canada, France, USA",30,25,52,40,32,15,0.76,2
"Finland, USA",73,69,352,249,279,180,2.54,2
"Australia, France",16,12,15,9,6,-4,-0.09,2
"Canada, South Korea, USA",42,21,121,61,79,39,1.69,2
"Denmark, France",7,5,3,2,-3,-3,-0.74,2
"Belgium, USA",25,20,47,28,22,9,0.3,2
"France, Spain, USA",38,21,58,30,20,9,-0.07,2
"France, Switzerland",35,19,17,10,-1,-9,-0.36,2
"USA, Czech Republic, Thailand",45,45,42,42,-3,-3,-0.06,1
"USA, Czech Republic, Romania",160,160,300,300,140,140,0.88,1
"USA, Czech Republic, Italy, Iceland, Slovakia",10,10,36,36,25,25,2.49,1
"USA, China, UK, Afghanistan",20,20,75,75,55,55,2.73,1
"USA, Czech Republic, Canada",45,45,34,34,-11,-11,-0.24,1
"Canada, Italy, USA, UK, Austria",18,18,10,10,-8,-8,-0.44,1
"USA, Czech Republic, UK",88,88,105,105,17,17,0.2,1
"USA, Denmark",80,80,312,312,232,232,2.9,1
"Canada, India, USA, Japan, Thailand",18,18,13,13,-5,-5,-0.29,1
"USA, Croatia, Bosnia and Herzegovina",25,25,8,8,-17,-17,-0.69,1
"USA, East Germany, West Germany",3,3,1,1,-2,-2,-0.82,1
"USA, Finland",3,3,3,3,0,0,0.0,1
"USA, Colombia, Spain, United Arab Emirates",10,10,1,1,-9,-9,-0.86,1
"USA, China, United Arab Emirates, Canada",185,185,343,343,158,158,0.86,1
"France, UK, Belgium",36,36,0,0,-36,-36,-0.99,1
"USA, China, UK",68,68,212,212,144,144,2.11,1
"USA, China, Taiwan",15,15,67,67,52,52,3.47,1
"USA, Canada, Mexico",12,12,56,56,44,44,3.69,1
"USA, Canada, Mexico, Spain, Italy",85,85,222,222,137,137,1.61,1
"USA, Canada, New Zealand",150,150,491,491,341,341,2.27,1
"USA, Canada, Singapore, Hong Kong",40,40,158,158,118,118,2.95,1
"Canada, UK, France",10,10,6,6,-4,-4,-0.42,1
"USA, Canada, UK, France, Hungary, Belgium",3,3,0,0,-3,-3,-0.92,1
"USA, Chile",2,2,0,0,-2,-2,-0.85,1
"USA, Chile, Israel",2,2,6,6,3,3,1.23,1
"Canada, UK, Australia",35,35,18,18,-17,-17,-0.5,1
"Canada, Spain",15,15,146,146,131,131,8.76,1
"USA, China, France, Norway, UK",178,178,791,791,613,613,3.44,1
"USA, China, Hong Kong, Australia, Canada",150,150,335,335,185,185,1.23,1
"USA, China, Hong Kong, Austria",150,150,683,683,533,533,3.55,1
"USA, China, India, Nepal, Hong Kong, United Arab Emirates, Iceland",65,65,254,254,189,189,2.91,1
"USA, China, Japan, Canada, United Arab Emirates",190,190,1515,1515,1325,1325,6.97,1
"Canada, Luxembourg",10,10,3,3,-7,-7,-0.71,1
"USA, France, Canada, Belgium",105,105,348,348,243,243,2.31,1
"USA, France, Bulgaria, Germany",90,90,215,215,125,125,1.39,1
"Canada, Germany",3,3,0,0,-3,-3,-1.0,1
"USA, Germany, Brazil, Italy",62,62,52,52,-10,-10,-0.16,1
"Canada, France, Portugal, Italy",20,20,6,6,-14,-14,-0.7,1
"USA, Germany, Canada, France",3,3,0,0,-3,-3,-0.95,1
"Canada, France, Japan, USA",50,50,98,98,48,48,0.95,1
"USA, Germany, China, Canada",145,145,403,403,258,258,1.78,1
"USA, Germany, China, Italy",150,150,398,398,248,248,1.65,1
"USA, Germany, Czech Republic",60,60,214,214,154,154,2.57,1
"USA, Germany, Czech Republic, Slovakia, Iceland",5,5,81,81,76,76,15.79,1
"USA, Germany, Czech Republic, UK",78,78,179,179,101,101,1.3,1
"Canada, France, Italy, UK, Japan",20,20,8,8,-12,-12,-0.6,1
"USA, Germany, France, Canada, South Africa, Australia, UK, Japan",40,40,312,312,272,272,6.81,1
"USA, Germany, France, Spain",110,110,443,443,333,333,3.03,1
"USA, Germany, France, UK",75,75,132,132,57,57,0.76,1
"Canada, China, USA, France",25,25,5,5,-20,-20,-0.79,1
"USA, Germany, Ireland, UK",110,110,72,72,-38,-38,-0.34,1
"Canada, France, UK",27,27,1,1,-26,-26,-0.96,1
"USA, France, UK, Japan",7,7,55,55,48,48,6.81,1
"Canada, Germany, South Africa, UK",15,15,0,0,-15,-15,-0.98,1
"USA, France, UK, Italy",60,60,176,176,116,116,1.93,1
"USA, Canada, Japan",6,6,6,6,0,0,0.06,1
"USA, France, Canada, Spain",40,40,142,142,102,102,2.54,1
"USA, France, Chile, China, Germany, UK",9,9,24,24,15,15,1.7,1
"USA, France, China, UK",35,35,212,212,177,177,5.06,1
"USA, France, Czechoslovakia, Italy",18,18,52,52,34,34,1.89,1
"USA, France, Israel, Cambodia",3,3,0,0,-3,-3,-0.94,1
"USA, France, Italy, UK",100,100,278,278,178,178,1.78,1
"Canada, Germany, France, USA",15,15,1,1,-14,-14,-0.91,1
"USA, France, Mexico",20,20,154,154,134,134,6.68,1
"USA, France, Romania",15,15,70,70,55,55,3.64,1
"USA, France, Serbia",28,28,53,53,25,25,0.88,1
"USA, France, South Africa",25,25,0,0,-25,-25,-1.0,1
"Canada, Germany, France",30,30,25,25,-5,-5,-0.16,1
"USA, France, UK, Austria, Germany, Italy",15,15,8,8,-7,-7,-0.47,1
"USA, France, UK, Hong Kong, Taiwan, Malta",125,125,241,241,116,116,0.93,1
"USA, Canada, Japan, France",26,26,102,102,76,76,2.93,1
"Canada, UK, USA, Germany",5,5,0,0,-5,-5,-0.97,1
"Canada, UK, Japan",16,16,3,3,-13,-13,-0.83,1
"UK, USA, France, Sweden",22,22,15,15,-7,-7,-0.3,1
"UK, Sweden, Norway",6,6,0,0,-6,-6,-0.99,1
"UK, Switzerland, USA, Germany",25,25,0,0,-25,-25,-0.99,1
"China, Haiti, Hong Kong",15,15,12,12,-3,-3,-0.19,1
"China, Germany, USA, Austria, Italy, Canada",105,105,134,134,29,29,0.27,1
"China, France, Hong Kong, USA",10,10,22,22,12,12,1.2,1
"UK, USA, China, Sweden, Japan",35,35,43,43,8,8,0.23,1
"China, Canada, Japan, USA",160,160,439,439,279,279,1.74,1
"Chile, Spain, UK, France",2,2,3,3,2,2,1.13,1
"Canada, UK, USA",10,10,113,113,103,103,10.3,1
"UK, USA, Germany, Denmark, Belgium, Japan",15,15,64,64,49,49,3.28,1
"UK, USA, Germany, Italy, France",1,1,1,1,0,0,0.29,1
"UK, USA, Hungary",108,108,630,630,522,522,4.83,1
"UK, USA, Iceland",55,55,203,203,148,148,2.7,1
"Chile, Mexico",0,0,2,2,1,1,2.93,1
"UK, USA, India, Canada, France, Belgium",59,59,90,90,31,31,0.53,1
